Rank	Name	Guild	Faction	DPS	Size	Date	Duration	Head	Neck	Shoulder	Chest	Waist	Legs	Feet	Wrist	Hands	Ring1	Ring2	Trinket1	Trinket2	Back	Weapon1	Weapon2	Ranged
1	Undis	wiggle	Horde	2,370.8	40	Jul 3	51:58	Champion's Plate Helm (23244)	The Eye of Hakkar (19856)	Champion's Plate Shoulders (23243)	Savage Gladiator Chain (11726)	Onslaught Girdle (19137)	General's Plate Leggings (16543)	General's Plate Boots (16545)	Wristguards of Stability (19146)	General's Plate Gauntlets (16548)	Master Dragonslayer's Ring (19384)	Quick Strike Ring (18821)	Diamond Flask (20130)	Hand of Justice (11815)	Cape of the Black Baron (13340)	High Warlord's Cleaver (18828)	High Warlord's Cleaver (18828)	Gurubashi Dwarf Destroyer (19853)
2	Paxgf	SQUAWK	Horde	2,329.1	40	Jul 8	1:15:05	Warlord's Plate Headpiece (16542)	The Eye of Hakkar (19856)	Warlord's Plate Shoulders (16544)	Warlord's Plate Armor (16541)	Onslaught Girdle (19137)	General's Plate Leggings (16543)	General's Plate Boots (16545)	Zandalar Vindicator's Armguards (19824)	General's Plate Gauntlets (16548)	Master Dragonslayer's Ring (19384)	Quick Strike Ring (18821)	Hand of Justice (11815)	Blackhand's Breadth (13965)	Puissant Cape (18541)	High Warlord's Cleaver (18828)	High Warlord's Cleaver (18828)	Bloodseeker (19107)
3	Wp	SQUAWK	Horde	2,304.3	40	Jul 8	48:38	Champion's Plate Helm (23244)	Prismatic Pendant (12048)	Champion's Plate Shoulders (23243)	Cadaverous Armor (14637)	Onslaught Girdle (19137)	Bloodsoaked Legplates (19855)	General's Plate Boots (16545)	Wristguards of Stability (19146)	Edgemaster's Handguards (14551)	Master Dragonslayer's Ring (19384)	Quick Strike Ring (18821)	Hand of Justice (11815)	Diamond Flask (20130)	Shroud of Domination (22337)	High Warlord's Cleaver (18828)	High Warlord's Quickblade (23467)	Gurubashi Dwarf Destroyer (19853)
4	Fxrmers	SQUAWK	Horde	2,283.1	40	Jul 8	1:15:05	Champion's Plate Helm (23244)	The Eye of Hakkar (19856)	Champion's Plate Shoulders (23243)	Savage Gladiator Chain (11726)	Zandalar Vindicator's Belt (19823)	General's Plate Leggings (16543)	General's Plate Boots (16545)	Zandalar Vindicator's Armguards (19824)	Sacrificial Gauntlets (22714)	Circle of Applied Force (19432)	Quick Strike Ring (18821)	Blackhand's Breadth (13965)	Hand of Justice (11815)	Puissant Cape (18541)	High Warlord's Cleaver (18828)	High Warlord's Cleaver (18828)	Bloodseeker (19107)
5	Cabo	SQUAWK	Horde	2,267.1	41	Jun 25	1:25:10	Warlord's Plate Headpiece (16542)	The Eye of Hakkar (19856)	Warlord's Plate Shoulders (16544)	Warlord's Plate Armor (16541)	Onslaught Girdle (19137)	General's Plate Leggings (16543)	General's Plate Boots (16545)	Wristguards of Stability (19146)	General's Plate Gauntlets (16548)	Master Dragonslayer's Ring (19384)	Don Julio's Band (19325)	Blackhand's Breadth (13965)	Blazing Emblem (2802)	Cape of the Black Baron (13340)	High Warlord's Cleaver (18828)	Crul'shorukh, Edge of Chaos (19363)	Bloodseeker (19107)
6	Oraxd	something to think about	Horde	2,266.4	40	Jun 10	46:11	Warlord's Plate Headpiece (16542)	The Eye of Hakkar (19856)	Warlord's Plate Shoulders (16544)	Warlord's Plate Armor (16541)	Onslaught Girdle (19137)	General's Plate Leggings (16543)	General's Plate Boots (16545)	Zandalar Vindicator's Armguards (19824)	General's Plate Gauntlets (16548)	Master Dragonslayer's Ring (19384)	Seal of the Gurubashi Berserker (22722)	Diamond Flask (20130)	Hand of Justice (11815)	Shadewood Cloak (18328)	High Warlord's Cleaver (18828)	High Warlord's Cleaver (18828)	Striker's Mark (17069)
7	Spanky	SQUAWK	Horde	2,248.4	40	Jun 18	1:00:34	Lionheart Helm (12640)	Prismatic Pendant (12048)	Champion's Plate Shoulders (23243)	Legionnaire's Plate Hauberk (22872)	Zandalar Vindicator's Belt (19823)	Bloodsoaked Legplates (19855)	General's Plate Boots (16545)	Gordok Bracers of Power (18533)	Edgemaster's Handguards (14551)	Prismatic Band (12017)	Prismatic Band (12017)	Diamond Flask (20130)	Hand of Justice (11815)	Puissant Cape (18541)	High Warlord's Cleaver (18828)	High Warlord's Cleaver (18828)	Bloodseeker (19107)
8	Sturdy	wiggle	Horde	2,246.1	40	Jul 3	51:58	Champion's Plate Helm (23244)	The Eye of Hakkar (19856)	Champion's Plate Shoulders (23243)	Savage Gladiator Chain (11726)	Zandalar Vindicator's Belt (19823)	General's Plate Leggings (16543)	General's Plate Boots (16545)	Zandalar Vindicator's Armguards (19824)	Edgemaster's Handguards (14551)	Circle of Applied Force (19432)	Master Dragonslayer's Ring (19384)	Diamond Flask (20130)	Hand of Justice (11815)	Shadewood Cloak (18328)	High Warlord's Cleaver (18828)	High Warlord's Quickblade (23467)	Bloodseeker (19107)
9	Squeak	SQUAWK	Horde	2,223.4	40	Jun 11	1:00:27	Champion's Plate Helm (23244)	The Eye of Hakkar (19856)	Champion's Plate Shoulders (23243)	Savage Gladiator Chain (11726)	Onslaught Girdle (19137)	Cloudkeeper Legplates (14554)	General's Plate Boots (16545)	Wristguards of Stability (19146)	Edgemaster's Handguards (14551)	Master Dragonslayer's Ring (19384)	Quick Strike Ring (18821)	Blackhand's Breadth (13965)	Hand of Justice (11815)	Cape of the Black Baron (13340)	High Warlord's Cleaver (18828)	High Warlord's Quickblade (23467)	Bloodseeker (19107)
10	Plenished	N/A	Unknown	2,222.0	40	Jul 2	1:33:03	Champion's Plate Helm (23244)	The Eye of Hakkar (19856)	Champion's Plate Shoulders (23243)	Malfurion's Blessed Bulwark (19405)	Onslaught Girdle (19137)	General's Plate Leggings (16543)	General's Plate Boots (16545)	Wristguards of Stability (19146)	Gauntlets of Might (16863)	Quick Strike Ring (18821)	Master Dragonslayer's Ring (19384)	Diamond Flask (20130)	Hand of Justice (11815)	Shroud of Domination (22337)	High Warlord's Cleaver (18828)	High Warlord's Cleaver (18828)	Gurubashi Dwarf Destroyer (19853)
11	Amherst	GG	Horde	2,219.3	40	Jun 10	1:00:8	Lionheart Helm (12640)	The Eye of Hakkar (19856)	Warlord's Plate Shoulders (16544)	Savage Gladiator Chain (11726)	Onslaught Girdle (19137)	General's Plate Leggings (16543)	Chromatic Boots (19387)	Zandalar Vindicator's Armguards (19824)	Edgemaster's Handguards (14551)	Quick Strike Ring (18821)	Don Julio's Band (19325)	Hand of Justice (11815)	Diamond Flask (20130)	Cape of the Black Baron (13340)	High Warlord's Cleaver (18828)	High Warlord's Quickblade (23467)	Striker's Mark (17069)
12	Winduh	based	Alliance	2,216.4	40	Jul 6	1:01:22	Field Marshal's Plate Helm (16478)	The Eye of Hakkar (19856)	Field Marshal's Plate Shoulderguards (16480)	Field Marshal's Plate Armor (16477)	Zandalar Vindicator's Belt (19823)	Marshal's Plate Legguards (16479)	Marshal's Plate Boots (16483)	Gordok Bracers of Power (18533)	Marshal's Plate Gauntlets (16484)	Seal of the Gurubashi Berserker (22722)	Master Dragonslayer's Ring (19384)	Diamond Flask (20130)	Hand of Justice (11815)	Cloak of Draconic Might (19436)	Grand Marshal's Longsword (12584)	Grand Marshal's Swiftblade (23456)	Gurubashi Dwarf Destroyer (19853)
13	Zare	SQUAWK	Horde	2,215.8	40	Jul 8	48:38	Champion's Plate Helm (23244)	Quicksilver Pendant (12026)	Champion's Plate Shoulders (23243)	Cadaverous Armor (14637)	Zandalar Vindicator's Belt (19823)	Bloodsoaked Legplates (19855)	General's Plate Boots (16545)	Gordok Bracers of Power (18533)	Sacrificial Gauntlets (22714)	Quick Strike Ring (18821)	Master Dragonslayer's Ring (19384)	Diamond Flask (20130)	Hand of Justice (11815)	Shadewood Cloak (18328)	High Warlord's Cleaver (18828)	Flurry Axe (871)	Bloodseeker (19107)
14	Tylaron	SQUAWK	Horde	2,199.7	40	Jul 8	1:15:05	Champion's Plate Helm (23244)	Onyxia Tooth Pendant (18404)	Champion's Plate Shoulders (23243)	Savage Gladiator Chain (11726)	Onslaught Girdle (19137)	Cloudkeeper Legplates (14554)	General's Plate Boots (16545)	Wristguards of Stability (19146)	General's Plate Gauntlets (16548)	Quick Strike Ring (18821)	Circle of Applied Force (19432)	Blackhand's Breadth (13965)	Hand of Justice (11815)	Windshear Cape (20691)	High Warlord's Cleaver (18828)	High Warlord's Cleaver (18828)	Bloodseeker (19107)
15	Googlepump	SQUAWK	Horde	2,199.4	40	Jun 18	1:00:34	Champion's Plate Helm (23244)	Quicksilver Pendant (12026)	Champion's Plate Shoulders (23243)	Cadaverous Armor (14637)	Onslaught Girdle (19137)	Bloodsoaked Legplates (19855)	General's Plate Boots (16545)	Gordok Bracers of Power (18533)	Edgemaster's Handguards (14551)	Master Dragonslayer's Ring (19384)	Prismatic Band (12017)	Diamond Flask (20130)	Hand of Justice (11815)	Shadewood Cloak (18328)	High Warlord's Cleaver (18828)	High Warlord's Quickblade (23467)	Gurubashi Dwarf Destroyer (19853)
16	Foliot	SQUAWK	Horde	2,194.6	41	Jun 25	1:25:10	Lionheart Helm (12640)	The Eye of Hakkar (19856)	Champion's Plate Shoulders (23243)	Legionnaire's Plate Hauberk (22872)	Onslaught Girdle (19137)	General's Plate Leggings (16543)	General's Plate Boots (16545)	Vambraces of the Sadist (13400)	General's Plate Gauntlets (16548)	Don Julio's Band (19325)	Master Dragonslayer's Ring (19384)	Hand of Justice (11815)	Blackhand's Breadth (13965)	Cloak of Firemaw (19398)	High Warlord's Cleaver (18828)	High Warlord's Cleaver (18828)	Bloodseeker (19107)
17	Parzival	SQUAWK	Horde	2,194.6	40	May 14	50:49	Lionheart Helm (12640)	Mark of Fordring (15411)	Warlord's Plate Shoulders (16544)	Savage Gladiator Chain (11726)	Onslaught Girdle (19137)	General's Plate Leggings (16543)	Chromatic Boots (19387)	Wristguards of Stability (19146)	Edgemaster's Handguards (14551)	Don Julio's Band (19325)	Blackstone Ring (17713)	Blackhand's Breadth (13965)	Hand of Justice (11815)	Shroud of Domination (22337)	High Warlord's Cleaver (18828)	High Warlord's Quickblade (23467)	Bloodseeker (19107)
18	Ratge	SQUAWK	Horde	2,193.8	40	Jul 8	48:38	Champion's Plate Helm (23244)	Prismatic Pendant (12048)	Champion's Plate Shoulders (23243)	Cadaverous Armor (14637)	Zandalar Vindicator's Belt (19823)	General's Plate Leggings (16543)	General's Plate Boots (16545)	Gordok Bracers of Power (18533)	Edgemaster's Handguards (14551)	Master Dragonslayer's Ring (19384)	Quick Strike Ring (18821)	Diamond Flask (20130)	Hand of Justice (11815)	Shroud of Domination (22337)	High Warlord's Cleaver (18828)	Crul'shorukh, Edge of Chaos (19363)	Gurubashi Dwarf Destroyer (19853)
19	Fx	SQUAWK	Horde	2,190.2	40	Jun 18	1:00:34	Champion's Plate Helm (23244)	The Eye of Hakkar (19856)	Champion's Plate Shoulders (23243)	Cadaverous Armor (14637)	Onslaught Girdle (19137)	Bloodsoaked Legplates (19855)	General's Plate Boots (16545)	Gordok Bracers of Power (18533)	Edgemaster's Handguards (14551)	Obsidian Band (12004)	Master Dragonslayer's Ring (19384)	Diamond Flask (20130)	Hand of Justice (11815)	Cloak of Draconic Might (19436)	High Warlord's Cleaver (18828)	High Warlord's Quickblade (23467)	Bloodseeker (19107)
20	Toxow	Smooth	Horde	2,190.0	40	May 16	53:18	Champion's Plate Helm (23244)	Vermilion Necklace (12027)	Champion's Plate Shoulders (23243)	Cadaverous Armor (14637)	Onslaught Girdle (19137)	General's Plate Leggings (16543)	General's Plate Boots (16545)	Zandalar Vindicator's Armguards (19824)	General's Plate Gauntlets (16548)	Master Dragonslayer's Ring (19384)	Don Julio's Band (19325)	Diamond Flask (20130)	Hand of Justice (11815)	Dragon's Blood Cape (17107)	High Warlord's Cleaver (18828)	High Warlord's Cleaver (18828)	Bloodseeker (19107)
21	Tylaronxx	SQUAWK	Horde	2,189.3	40	Jun 22	42:01	Champion's Plate Helm (23244)	Vermilion Necklace (12027)	Champion's Plate Shoulders (23243)	Malfurion's Blessed Bulwark (19405)	Onslaught Girdle (19137)	General's Plate Leggings (16543)	General's Plate Boots (16545)	Gordok Bracers of Power (18533)	Edgemaster's Handguards (14551)	Master Dragonslayer's Ring (19384)	Obsidian Band (12004)	Diamond Flask (20130)	Hand of Justice (11815)	Cape of the Black Baron (13340)	High Warlord's Cleaver (18828)	High Warlord's Quickblade (23467)	Gurubashi Dwarf Destroyer (19853)
22	Vize	GG	Horde	2,182.7	40	May 15	1:08:27	Lionheart Helm (12640)	Onyxia Tooth Pendant (18404)	Champion's Plate Shoulders (23243)	Legionnaire's Plate Hauberk (22872)	Zandalar Vindicator's Belt (19823)	General's Plate Leggings (16543)	General's Plate Boots (16545)	Vambraces of the Sadist (13400)	Edgemaster's Handguards (14551)	Don Julio's Band (19325)	Quick Strike Ring (18821)	Diamond Flask (20130)	Hand of Justice (11815)	Cape of the Black Baron (13340)	High Warlord's Cleaver (18828)	High Warlord's Quickblade (23467)	Bloodseeker (19107)
23	Gigax	SQUAWK	Horde	2,179.0	41	Jun 25	1:25:10	Lionheart Helm (12640)	Onyxia Tooth Pendant (18404)	Warlord's Plate Shoulders (16544)	Savage Gladiator Chain (11726)	Zandalar Vindicator's Belt (19823)	General's Plate Leggings (16543)	General's Plate Boots (16545)	Gordok Bracers of Power (18533)	General's Plate Gauntlets (16548)	Quick Strike Ring (18821)	Master Dragonslayer's Ring (19384)	Hand of Justice (11815)	Blackhand's Breadth (13965)	Shadewood Cloak (18328)	High Warlord's Cleaver (18828)	High Warlord's Cleaver (18828)	Bloodseeker (19107)
24	Harddad	SQUAWK	Horde	2,177.9	41	Jun 25	1:25:10	Lionheart Helm (12640)	The Eye of Hakkar (19856)	Warlord's Plate Shoulders (16544)	Savage Gladiator Chain (11726)	Zandalar Vindicator's Belt (19823)	General's Plate Leggings (16543)	General's Plate Boots (16545)	Zandalar Vindicator's Armguards (19824)	Sacrificial Gauntlets (22714)	Don Julio's Band (19325)	Master Dragonslayer's Ring (19384)	Blackhand's Breadth (13965)	Hand of Justice (11815)	Cape of the Black Baron (13340)	High Warlord's Cleaver (18828)	Crul'shorukh, Edge of Chaos (19363)	Gurubashi Dwarf Destroyer (19853)
25	Itzjay	SQUAWK	Horde	2,174.2	40	Jun 11	1:00:27	Champion's Plate Helm (23244)	The Eye of Hakkar (19856)	Champion's Plate Shoulders (23243)	Savage Gladiator Chain (11726)	Onslaught Girdle (19137)	Cloudkeeper Legplates (14554)	General's Plate Boots (16545)	Wristguards of Stability (19146)	Sacrificial Gauntlets (22714)	Don Julio's Band (19325)	Master Dragonslayer's Ring (19384)	Hand of Justice (11815)	Blackhand's Breadth (13965)	Cape of the Black Baron (13340)	High Warlord's Cleaver (18828)	High Warlord's Cleaver (18828)	Bloodseeker (19107)
26	Wildanimal	SQUAWK	Horde	2,170.9	41	Jun 25	1:25:10	Champion's Plate Helm (23244)	The Eye of Hakkar (19856)	Champion's Plate Shoulders (23243)	Savage Gladiator Chain (11726)	Onslaught Girdle (19137)	General's Plate Leggings (16543)	General's Plate Boots (16545)	Zandalar Vindicator's Armguards (19824)	Edgemaster's Handguards (14551)	Master Dragonslayer's Ring (19384)	Don Julio's Band (19325)	Diamond Flask (20130)	Hand of Justice (11815)	Windshear Cape (20691)	High Warlord's Cleaver (18828)	High Warlord's Quickblade (23467)	Bloodseeker (19107)
27	Juck	SQUAWK	Horde	2,169.4	40	Jul 8	1:15:05	Champion's Plate Helm (23244)	The Eye of Hakkar (19856)	Champion's Plate Shoulders (23243)	Savage Gladiator Chain (11726)	Onslaught Girdle (19137)	Cloudkeeper Legplates (14554)	General's Plate Boots (16545)	Wristguards of Stability (19146)	Sacrificial Gauntlets (22714)	Quick Strike Ring (18821)	Master Dragonslayer's Ring (19384)	Blackhand's Breadth (13965)	Hand of Justice (11815)	Cape of the Black Baron (13340)	High Warlord's Cleaver (18828)	High Warlord's Cleaver (18828)	Bloodseeker (19107)
28	Doal	SQUAWK	Horde	2,167.2	40	Jun 11	1:00:27	Champion's Plate Helm (23244)	Onyxia Tooth Pendant (18404)	Champion's Plate Shoulders (23243)	Savage Gladiator Chain (11726)	Onslaught Girdle (19137)	General's Plate Leggings (16543)	General's Plate Boots (16545)	Zandalar Vindicator's Armguards (19824)	Edgemaster's Handguards (14551)	Master Dragonslayer's Ring (19384)	Don Julio's Band (19325)	Hand of Justice (11815)	Blackhand's Breadth (13965)	Cape of the Black Baron (13340)	High Warlord's Cleaver (18828)	High Warlord's Quickblade (23467)	Bloodseeker (19107)
29	Chonks	SQUAWK	Horde	2,166.7	40	Jun 22	42:01	Champion's Plate Helm (23244)	Quicksilver Pendant (12026)	Champion's Plate Shoulders (23243)	Malfurion's Blessed Bulwark (19405)	Onslaught Girdle (19137)	General's Plate Leggings (16543)	General's Plate Boots (16545)	Gordok Bracers of Power (18533)	Edgemaster's Handguards (14551)	Master Dragonslayer's Ring (19384)	Prismatic Band (12017)	Hand of Justice (11815)	Diamond Flask (20130)	Cloak of Draconic Might (19436)	High Warlord's Cleaver (18828)	High Warlord's Quickblade (23467)	Gurubashi Dwarf Destroyer (19853)
30	Whygodx	SQUAWK	Horde	2,163.6	40	Jun 11	53:53	Champion's Plate Helm (23244)	Onyxia Tooth Pendant (18404)	Champion's Plate Shoulders (23243)	Savage Gladiator Chain (11726)	Onslaught Girdle (19137)	Cloudkeeper Legplates (14554)	General's Plate Boots (16545)	Zandalar Vindicator's Armguards (19824)	General's Plate Gauntlets (16548)	Don Julio's Band (19325)	Master Dragonslayer's Ring (19384)	Blackhand's Breadth (13965)	Hand of Justice (11815)	Cloak of Firemaw (19398)	High Warlord's Cleaver (18828)	High Warlord's Cleaver (18828)	Bloodseeker (19107)
31	Shmev	Smooth	Horde	2,159.0	40	Jun 20	48:31	Lionheart Helm (12640)	Onyxia Tooth Pendant (18404)	Warlord's Plate Shoulders (16544)	Malfurion's Blessed Bulwark (19405)	Onslaught Girdle (19137)	General's Plate Leggings (16543)	General's Plate Boots (16545)	Wristguards of Stability (19146)	Edgemaster's Handguards (14551)	Quick Strike Ring (18821)	Master Dragonslayer's Ring (19384)	Diamond Flask (20130)	Hand of Justice (11815)	Cape of the Black Baron (13340)	High Warlord's Cleaver (18828)	High Warlord's Quickblade (23467)	Bloodseeker (19107)
32	Kuriwar	Smooth	Horde	2,156.6	40	Jun 20	48:31	Champion's Plate Helm (23244)	Quicksilver Pendant (12026)	Champion's Plate Shoulders (23243)	Commander's Armor (10378)	Zandalar Vindicator's Belt (19823)	Cloudkeeper Legplates (14554)	General's Plate Boots (16545)	Wristguards of Stability (19146)	Gauntlets of Might (16863)	Quick Strike Ring (18821)	Don Julio's Band (19325)	Diamond Flask (20130)	Hand of Justice (11815)	Cape of the Black Baron (13340)	High Warlord's Cleaver (18828)	Crul'shorukh, Edge of Chaos (19363)	Bloodseeker (19107)
33	Relyz	SQUAWK	Horde	2,155.4	41	Jun 25	1:01:47	Champion's Plate Helm (23244)	Vermilion Necklace (12027)	Champion's Plate Shoulders (23243)	Cadaverous Armor (14637)	Onslaught Girdle (19137)	General's Plate Leggings (16543)	General's Plate Boots (16545)	Wristguards of Stability (19146)	Edgemaster's Handguards (14551)	Obsidian Band (12004)	Obsidian Band (12004)	Diamond Flask (20130)	Hand of Justice (11815)	Shadewood Cloak (18328)	High Warlord's Cleaver (18828)	High Warlord's Quickblade (23467)	Bloodseeker (19107)
34	Shmeeva	Smooth	Horde	2,154.1	40	Jul 8	54:51	Lionheart Helm (12640)	Onyxia Tooth Pendant (18404)	Champion's Plate Shoulders (23243)	Legionnaire's Plate Hauberk (22872)	Zandalar Vindicator's Belt (19823)	General's Plate Leggings (16543)	General's Plate Boots (16545)	Zandalar Vindicator's Armguards (19824)	Flameguard Gauntlets (19143)	Quick Strike Ring (18821)	Master Dragonslayer's Ring (19384)	Diamond Flask (20130)	Hand of Justice (11815)	Cloak of Draconic Might (19436)	High Warlord's Cleaver (18828)	Crul'shorukh, Edge of Chaos (19363)	Gurubashi Dwarf Destroyer (19853)
35	Vam	based	Alliance	2,152.6	40	Jul 6	1:01:22	Lionheart Helm (12640)	Onyxia Tooth Pendant (18404)	Lieutenant Commander's Plate Shoulders (23315)	Knight-Captain's Plate Hauberk (23300)	Onslaught Girdle (19137)	Marshal's Plate Legguards (16479)	Chromatic Boots (19387)	Zandalar Vindicator's Armguards (19824)	Sacrificial Gauntlets (22714)	Quick Strike Ring (18821)	Master Dragonslayer's Ring (19384)	Diamond Flask (20130)	Hand of Justice (11815)	Stormpike Soldier's Cloak (19084)	Grand Marshal's Longsword (12584)	Grand Marshal's Swiftblade (23456)	Bloodseeker (19107)
36	Mediumcore	SQUAWK	Horde	2,146.0	40	Jun 18	1:00:34	Champion's Plate Helm (23244)	Quicksilver Pendant (12026)	Champion's Plate Shoulders (23243)	Cadaverous Armor (14637)	Brigam Girdle (13142)	Bloodsoaked Legplates (19855)	General's Plate Boots (16545)	Gordok Bracers of Power (18533)	Edgemaster's Handguards (14551)	Master Dragonslayer's Ring (19384)	Quick Strike Ring (18821)	Diamond Flask (20130)	Hand of Justice (11815)	Cloak of Firemaw (19398)	High Warlord's Cleaver (18828)	High Warlord's Quickblade (23467)	Bloodseeker (19107)
37	Jurpi	SQUAWK	Horde	2,144.7	41	Jun 25	1:01:47	Champion's Plate Helm (23244)	The Eye of Hakkar (19856)	Champion's Plate Shoulders (23243)	Cadaverous Armor (14637)	Onslaught Girdle (19137)	General's Plate Leggings (16543)	General's Plate Boots (16545)	Gordok Bracers of Power (18533)	Gauntlets of Might (16863)	Seal of the Gurubashi Berserker (22722)	Master Dragonslayer's Ring (19384)	Diamond Flask (20130)	Hand of Justice (11815)	Cloak of Firemaw (19398)	High Warlord's Cleaver (18828)	High Warlord's Cleaver (18828)	Stinging Bow (10624)
38	Nh	GG	Horde	2,143.7	41	Jun 19	1:20:09	Warlord's Plate Headpiece (16542)	Onyxia Tooth Pendant (18404)	Warlord's Plate Shoulders (16544)	Warlord's Plate Armor (16541)	Onslaught Girdle (19137)	General's Plate Leggings (16543)	General's Plate Boots (16545)	Wristguards of Stability (19146)	General's Plate Gauntlets (16548)	Don Julio's Band (19325)	Quick Strike Ring (18821)	Diamond Flask (20130)	Hand of Justice (11815)	Cape of the Black Baron (13340)	High Warlord's Cleaver (18828)	High Warlord's Cleaver (18828)	Bloodseeker (19107)
39	Gyometsu	Smooth	Horde	2,142.4	40	Jun 20	48:31	Warlord's Plate Headpiece (16542)	Onyxia Tooth Pendant (18404)	Warlord's Plate Shoulders (16544)	Warlord's Plate Armor (16541)	Onslaught Girdle (19137)	General's Plate Leggings (16543)	General's Plate Boots (16545)	Vambraces of the Sadist (13400)	General's Plate Gauntlets (16548)	Master Dragonslayer's Ring (19384)	Don Julio's Band (19325)	Diamond Flask (20130)	Hand of Justice (11815)	Cape of the Black Baron (13340)	High Warlord's Cleaver (18828)	High Warlord's Cleaver (18828)	Bloodseeker (19107)
40	Vide	N/A	Unknown	2,141.6	40	Jun 25	49:37	Lionheart Helm (12640)	Onyxia Tooth Pendant (18404)	Warlord's Plate Shoulders (16544)	Savage Gladiator Chain (11726)	Zandalar Vindicator's Belt (19823)	General's Plate Leggings (16543)	Chromatic Boots (19387)	Wristguards of Stability (19146)	Sacrificial Gauntlets (22714)	Master Dragonslayer's Ring (19384)	Quick Strike Ring (18821)	Hand of Justice (11815)	Diamond Flask (20130)	Cape of the Black Baron (13340)	High Warlord's Cleaver (18828)	High Warlord's Cleaver (18828)	Striker's Mark (17069)
41	Dqt	SQUAWK	Horde	2,140.3	40	Jun 11	1:00:27	Champion's Plate Helm (23244)	The Eye of Hakkar (19856)	Champion's Plate Shoulders (23243)	Savage Gladiator Chain (11726)	Onslaught Girdle (19137)	General's Plate Leggings (16543)	General's Plate Boots (16545)	Wristguards of Stability (19146)	Edgemaster's Handguards (14551)	Master Dragonslayer's Ring (19384)	Don Julio's Band (19325)	Blackhand's Breadth (13965)	Hand of Justice (11815)	Cloak of Draconic Might (19436)	High Warlord's Cleaver (18828)	High Warlord's Quickblade (23467)	Bloodseeker (19107)
42	Hercules	SQUAWK	Horde	2,139.9	40	Jul 8	48:38	Champion's Plate Helm (23244)	Quicksilver Pendant (12026)	Champion's Plate Shoulders (23243)	Cadaverous Armor (14637)	Zandalar Vindicator's Belt (19823)	Bloodsoaked Legplates (19855)	General's Plate Boots (16545)	Gordok Bracers of Power (18533)	General's Plate Gauntlets (16548)	Master Dragonslayer's Ring (19384)	Obsidian Band (12004)	Hand of Justice (11815)	Diamond Flask (20130)	Puissant Cape (18541)	High Warlord's Cleaver (18828)	High Warlord's Cleaver (18828)	Bloodseeker (19107)
43	Paradova	SQUAWK	Horde	2,139.4	41	Jun 25	1:01:47	Warlord's Plate Headpiece (16542)	Quicksilver Pendant (12026)	Warlord's Plate Shoulders (16544)	Cadaverous Armor (14637)	Zandalar Vindicator's Belt (19823)	General's Plate Leggings (16543)	General's Plate Boots (16545)	Gordok Bracers of Power (18533)	Edgemaster's Handguards (14551)	Master Dragonslayer's Ring (19384)	Quick Strike Ring (18821)	Hand of Justice (11815)	Diamond Flask (20130)	Puissant Cape (18541)	High Warlord's Cleaver (18828)	High Warlord's Quickblade (23467)	Bloodseeker (19107)
44	Coach	SQUAWK	Horde	2,131.8	40	Jun 18	1:00:34	Champion's Plate Helm (23244)	Quicksilver Pendant (12026)	Champion's Plate Shoulders (23243)	Cadaverous Armor (14637)	Zandalar Vindicator's Belt (19823)	Bloodsoaked Legplates (19855)	General's Plate Boots (16545)	Gordok Bracers of Power (18533)	Edgemaster's Handguards (14551)	Master Dragonslayer's Ring (19384)	Obsidian Band (12004)	Hand of Justice (11815)	Diamond Flask (20130)	Puissant Cape (18541)	High Warlord's Cleaver (18828)	High Warlord's Quickblade (23467)	Gurubashi Dwarf Destroyer (19853)
45	Fortywinks	SQUAWK	Horde	2,130.6	41	Jun 25	1:01:47	Champion's Plate Helm (23244)	Vermilion Necklace (12027)	Champion's Plate Shoulders (23243)	Cadaverous Armor (14637)	Zandalar Vindicator's Belt (19823)	Bloodsoaked Legplates (19855)	General's Plate Boots (16545)	Gordok Bracers of Power (18533)	Edgemaster's Handguards (14551)	Seal of the Gurubashi Berserker (22722)	Master Dragonslayer's Ring (19384)	Diamond Flask (20130)	Hand of Justice (11815)	Shadewood Cloak (18328)	Chromatically Tempered Sword (19352)	Flurry Axe (871)	Satyr's Bow (18323)
46	Pooqbald	something to think about	Horde	2,129.5	40	Jun 11	49:46	Champion's Plate Helm (23244)	The Eye of Hakkar (19856)	Champion's Plate Shoulders (23243)	Savage Gladiator Chain (11726)	Onslaught Girdle (19137)	General's Plate Leggings (16543)	General's Plate Boots (16545)	Wristguards of Stability (19146)	Edgemaster's Handguards (14551)	Don Julio's Band (19325)	Master Dragonslayer's Ring (19384)	Hand of Justice (11815)	Blackhand's Breadth (13965)	Cape of the Black Baron (13340)	High Warlord's Cleaver (18828)	High Warlord's Quickblade (23467)	Bloodseeker (19107)
47	Upsman	The Pond pug	Horde	2,124.3	40	Jun 14	42:41	Warlord's Plate Headpiece (16542)	The Eye of Hakkar (19856)	Warlord's Plate Shoulders (16544)	Warlord's Plate Armor (16541)	Zandalar Vindicator's Belt (19823)	General's Plate Leggings (16543)	General's Plate Boots (16545)	Zandalar Vindicator's Armguards (19824)	General's Plate Gauntlets (16548)	Master Dragonslayer's Ring (19384)	Quick Strike Ring (18821)	Diamond Flask (20130)	Hand of Justice (11815)	Cloak of Firemaw (19398)	High Warlord's Cleaver (18828)	High Warlord's Cleaver (18828)	Bloodseeker (19107)
